datum nr_bestaetigt nr_verstorben nr_genesen
2020-01-27 0 0 0
2020-01-28 1 0 0
2020-01-29 4 0 0
2020-01-30 4 0 0
2020-01-31 5 0 0
2020-02-01 7 0 0
2020-02-02 8 0 0
2020-02-03 10 0 0
2020-02-04 12 0 0
2020-02-05 12 0 0
2020-02-06 12 0 0
2020-02-07 13 0 0
2020-02-08 14 0 0
2020-02-09 14 0 0
2020-02-10 14 0 0
2020-02-11 14 0 0
2020-02-12 16 0 0
2020-02-13 16 0 0
2020-02-14 16 0 0
2020-02-15 16 0 0
2020-02-16 16 0 0
2020-02-17 16 0 0
2020-02-18 16 0 0
2020-02-19 16 0 0
2020-02-20 16 0 0
2020-02-21 16 0 0
2020-02-22 16 0 0
2020-02-23 16 0 0
2020-02-24 16 0 0
2020-02-25 16 0 0
2020-02-26 18 0 0
2020-02-27 21 0 0
2020-02-28 26 0 0
2020-02-29 57 0 0
2020-03-01 57 0 0
2020-03-02 129 0 0
2020-03-03 157 0 0
2020-03-04 196 0 0
2020-03-05 262 0 0
2020-03-06 534 0 0
2020-03-07 639 0 0
2020-03-08 795 0 0
2020-03-09 1112 0 0
2020-03-10 1139 2 0
2020-03-11 1296 2 0
2020-03-12 1567 3 0
2020-03-13 2369 6 0
2020-03-14 3062 6 0
2020-03-15 3795 8 0
2020-03-16 4838 12 0
2020-03-17 6012 13 0
2020-03-18 7156 13 0
2020-03-19 8198 13 0
2020-03-20 10999 20 0
2020-03-21 18323 45 0
2020-03-22 21463 67 0
2020-03-23 24774 94 0
2020-03-24 29212 126 0
2020-03-25 31554 149 0
2020-03-26 36508 198 0
2020-03-27 42288 253 0
2020-03-28 48582 325 0
2020-03-29 52547 389 11500
2020-03-30 57298 455 13500
2020-03-31 61913 583 16100
2020-04-01 67366 732 18700
2020-04-02 73522 872 21400
2020-04-03 79696 1017 23800
2020-04-04 85778 1158 26400
2020-04-05 91714 1342 28700
2020-04-06 95391 1434 30600
2020-04-07 99225 1607 33300
2020-04-08 103228 1861 46300
2020-04-09 108202 2107 49900
2020-04-10 113525 2373 53913
2020-04-11 117658 2544 57400
2020-04-12 120479 2673 60300
2020-04-13 123016 2799 64300
2020-04-14 125098 2969 68100
2020-04-15 127584 3254 72600
2020-04-16 130450 3569 77000
2020-04-17 133830 3868 81800
2020-04-18 137439 4110 85400
2020-04-19 139897 4294 88000
2020-04-20 141672 4404 91500
2020-04-21 143457 4598 95200
2020-04-22 145694 4879 99400
2020-04-23 148046 5094 103300
2020-04-24 150383 5321 106800
2020-04-25 152438 5500 109800
2020-04-26 154175 5640 112000
2020-04-27 155193 5750 114500
2020-04-28 156337 5913 117400
2020-04-29 157641 6115 120400
2020-04-30 159119 6288 123500
2020-05-01 160758 6481 126900
2020-05-02 161703 6575 129000
2020-05-03 162496 6649 130600
2020-05-04 163175 6692 132700
2020-05-05 163860 6831 135100
2020-05-06 164897 6996 137400
2020-05-07 166091 7119 139900
2020-05-08 167300 7266 141700
2020-05-09 168551 7369 143300
2020-05-10 169218 7395 144400
2020-05-11 169575 7417 145600
2020-05-12 170508 7533 147200
2020-05-13 171306 7634 148700
2020-05-14 172239 7723 150300
2020-05-15 173152 7824 151700
2020-05-16 173772 7881 152600
2020-05-17 174355 7914 153400
2020-05-18 174697 7935 154600
2020-05-19 175210 8007 155700
2020-05-20 176007 8090 156900
2020-05-21 176752 8147 158000
2020-05-22 177212 8174 159000
2020-05-23 177850 8216 159900
2020-05-24 178281 8247 160300
2020-05-25 178570 8257 161200
2020-05-26 179002 8302 162000
2020-05-27 179364 8349 162800
2020-05-28 179717 8411 163200
2020-05-29 180458 8450 164100
2020-05-30 181196 8489 164900
2020-05-31 181482 8500 165200
2020-06-01 181815 8511 165900
2020-06-02 182028 8522 166400
2020-06-03 182370 8551 167300
2020-06-04 182764 8581 167800
2020-06-05 183271 8613 168500
2020-06-06 183678 8646 168900
2020-06-07 183979 8668 169100
2020-06-08 184193 8674 169600
2020-06-09 184543 8711 170200
2020-06-10 184861 8729 170700
2020-06-11 185416 8755 171200
2020-06-12 185674 8763 171600
2020-06-13 186022 8781 171900
